"","source","source_division","citation","token_id","sentence_id","verb","lemma_id","lemma","gr","gr_token_id","gr_sentence_id","gr_lemma","gr_tensemood"
"1679","Marianus","John 5","JOHN 5.29",608355,41890,"изидѫтъ",58784,"изити","ἐκπορεύσονται",346273,59959,"ἐκπορεύομαι","future"
"1682","Marianus","John 10","JOHN 10.9",613094,42331,"изидетъ",58784,"изити","ἐξελεύσεται",351481,22660,"ἐξέρχομαι","future"
"1708","Marianus","Matthew 5","MATT 5.26",817620,50667,"изидеши",58784,"изити","ἐξέλθῃς",269069,47687,"ἐξέρχομαι","aorist_subjunctive"
"1712","Marianus","Matthew 5","MATT 5.33",564169,50672,"въздаси",58787,"въздати","ἀποδώσεις",269225,47694,"ἀποδίδωμι","future"
"1713","Marianus","Matthew 6","MATT 6.4",564534,38412,"въздастъ",58787,"въздати","ἀποδώσει",269599,14826,"ἀποδίδωμι","future"
"1714","Marianus","Matthew 6","MATT 6.6",564604,50682,"въздастъ",58787,"въздати","ἀποδώσει",269673,14831,"ἀποδίδωμι","future"
"1715","Marianus","Matthew 6","MATT 6.18",564827,38431,"въздастъ",58787,"въздати","ἀποδώσει",269886,14844,"ἀποδίδωμι","future"
"1716","Marianus","Matthew 12","MATT 12.36",569087,38750,"въздадѧтъ",58787,"въздати","ἀποδώσουσιν",274334,15168,"ἀποδίδωμι","future"
"1718","Marianus","Matthew 16","MATT 16.27",572326,39030,"въздастъ",58787,"въздати","ἀποδώσει",277798,15445,"ἀποδίδωμι","future"
"1720","Marianus","Matthew 18","MATT 18.26",573522,50917,"въздамъ",58787,"въздати","ἀποδώσω",278984,15535,"ἀποδίδωμι","future"
"1721","Marianus","Matthew 18","MATT 18.29",573579,50919,"въздамъ",58787,"въздати","ἀποδώσω",279044,47901,"ἀποδίδωμι","future"
"1722","Marianus","Matthew 18","MATT 18.30",573595,39123,"въздастъ",58787,"въздати","ἀποδῷ",279059,15540,"ἀποδίδωμι","aorist_subjunctive"
"1724","Marianus","Matthew 21","MATT 21.41",575840,39327,"въздадѧтъ",58787,"въздати","ἀποδώσουσιν",281288,15746,"ἀποδίδωμι","future"
"1728","Marianus","Luke 10","LUKE 10.35",592787,51439,"въздамь",58787,"въздати","ἀποδώσω",330199,20867,"ἀποδίδωμι","future"
"1730","Marianus","Luke 14","LUKE 14.14",596198,40883,"въздастъ",58787,"въздати","ἀνταποδοθήσεται",333735,21135,"ἀνταποδίδωμι","future"
"1738","Marianus","Luke 12","LUKE 12.59",793649,51489,"въздаси",58787,"въздати","ἀποδῷς",332699,48472,"ἀποδίδωμι","aorist_subjunctive"
"1739","Marianus","Matthew 5","MATT 5.26",817623,50667,"въздаси",58787,"въздати","ἀποδῷς",269073,47687,"ἀποδίδωμι","aorist_subjunctive"
"2783","Marianus","Mark 7","MARK 7.11",543376,50369,"речетъ",58793,"рещи","εἴπῃ",106694,6860,"λέγω","aorist_subjunctive"
"2811","Marianus","Mark 11","MARK 11.29",547179,37011,"рекѫ",58793,"рещи","ἐρῶ",110520,7175,"λέγω","future"
"2847","Marianus","Matthew 7","MATT 7.3",565226,38462,"речеши",58793,"рещи","ἐρεῖς",270286,47724,"λέγω","future"
"2848","Marianus","Matthew 7","MATT 7.22",565553,50693,"рекѫтъ",58793,"рещи","ἐροῦσίν",270641,47736,"λέγω","future"
"2875","Marianus","Matthew 12","MATT 12.32",568989,50814,"речетъ",58793,"рещи","εἴπῃ",274217,15161,"λέγω","aorist_subjunctive"
"2876","Marianus","Matthew 12","MATT 12.32",569001,38746,"речетъ",58793,"рещи","εἴπῃ",274231,15162,"λέγω","aorist_subjunctive"
"2877","Marianus","Matthew 12","MATT 12.36",569084,38750,"рекѫтъ",58793,"рещи","λαλήσουσιν",274331,15168,"λαλέω","future"
"2879","Marianus","Matthew 12","MATT 12.44",569227,50821,"речетъ",58793,"рещи","λέγει",274513,15178,"λέγω","present"
"2889","Marianus","Matthew 13","MATT 13.30",569936,38813,"рекѫ",58793,"рещи","ἐρῶ",275268,15232,"λέγω","future"
"2902","Marianus","Matthew 15","MATT 15.5",571177,38923,"речетъ",58793,"рещи","εἴπῃ",276594,15340,"λέγω","aorist_subjunctive"
"2922","Marianus","Matthew 16","MATT 16.20",572148,39016,"рекѫтъ",58793,"рещи","εἴπωσιν",277615,15431,"λέγω","aorist_subjunctive"
"2960","Marianus","Matthew 21","MATT 21.3",575030,50961,"речетъ",58793,"рещи","εἴπῃ",280439,15664,"λέγω","aorist_subjunctive"
"2967","Marianus","Matthew 21","MATT 21.21",575410,50975,"речете",58793,"рещи","εἴπητε",280838,47917,"λέγω","aorist_subjunctive"
"2969","Marianus","Matthew 21","MATT 21.24",575477,39284,"речете",58793,"рещи","εἴπητέ",280908,15701,"λέγω","aorist_subjunctive"
"2970","Marianus","Matthew 21","MATT 21.24",575482,39284,"рекѫ",58793,"рещи","ἐρῶ",280913,15701,"λέγω","future"
"2971","Marianus","Matthew 21","MATT 21.26",575510,39288,"речемъ",58793,"рещи","εἴπωμεν",280941,15705,"λέγω","aorist_subjunctive"
"2972","Marianus","Matthew 21","MATT 21.26",575524,39290,"речемъ",58793,"рещи","εἴπωμεν",280958,15708,"λέγω","aorist_subjunctive"
"2990","Marianus","Matthew 23","MATT 23.3",576686,39407,"рекѫтъ",58793,"рещи","εἴπωσιν",282173,15827,"λέγω","aorist_subjunctive"
"2991","Marianus","Matthew 23","MATT 23.38",577374,51062,"речете",58793,"рещи","εἴπητε",282888,47944,"λέγω","aorist_subjunctive"
"2995","Marianus","Matthew 24","MATT 24.23",577754,39478,"речетъ",58793,"рещи","εἴπῃ",283270,15899,"λέγω","aorist_subjunctive"
"2997","Marianus","Matthew 24","MATT 24.26",577795,39482,"рекѫтъ",58793,"рещи","εἴπωσιν",283313,15903,"λέγω","aorist_subjunctive"
"3005","Marianus","Matthew 25","MATT 25.34",578868,51105,"речетъ",58793,"рещи","ἐρεῖ",284438,15980,"λέγω","future"
"3006","Marianus","Matthew 25","MATT 25.40",578986,39568,"речетъ",58793,"рещи","ἐρεῖ",284550,15989,"λέγω","future"
"3007","Marianus","Matthew 25","MATT 25.41",579006,39570,"речетъ",58793,"рещи","ἐρεῖ",284572,15991,"λέγω","future"
"3010","Marianus","Matthew 26","MATT 26.13",579311,51131,"речетъ",58793,"рещи","λαληθήσεται",284889,48003,"λαλέω","future"
"3029","Marianus","Matthew 26","MATT 26.63",580276,39687,"речеши",58793,"рещи","εἴπῃς",285888,16111,"λέγω","aorist_subjunctive"
"3046","Marianus","Matthew 27","MATT 27.64",581614,39806,"рекѫтъ",58793,"рещи","εἴπωσιν",287230,16230,"λέγω","aorist_subjunctive"
"3084","Marianus","Luke 4","LUKE 4.23",586196,40124,"речете",58793,"рещи","ἐρεῖτέ",323413,20345,"λέγω","future"
"3103","Marianus","Luke 6","LUKE 6.26",587983,40253,"рекѫтъ",58793,"рещи","εἴπωσιν",325273,20480,"λέγω","aorist_subjunctive"
"3151","Marianus","Luke 9","LUKE 9.54",591890,40552,"речевѣ",58793,"рещи","εἴπωμεν",329276,20789,"λέγω","aorist_subjunctive"
"3178","Marianus","Luke 11","LUKE 11.7",593081,51453,"речетъ",58793,"рещи","εἴπῃ",330485,20895,"λέγω","aorist_subjunctive"
"3187","Marianus","Luke 12","LUKE 12.10",594222,40737,"речетъ",58793,"рещи","ἐρεῖ",331695,20984,"λέγω","future"
"3188","Marianus","Luke 12","LUKE 12.11",594264,40739,"речете",58793,"рещи","εἴπητε",331738,20986,"λέγω","aorist_subjunctive"
"3195","Marianus","Luke 12","LUKE 12.19",594389,40751,"рекѫ",58793,"рещи","ἐρῶ",331876,21000,"λέγω","future"
"3200","Marianus","Luke 12","LUKE 12.45",594878,40789,"речетъ",58793,"рещи","εἴπῃ",784315,21039,"λέγω","aorist_subjunctive"
"3209","Marianus","Luke 13","LUKE 13.25",595705,58156,"речетъ",58793,"рещи","ἐρεῖ",333233,48482,"λέγω","future"
"3210","Marianus","Luke 13","LUKE 13.27",595732,51508,"речетъ",58793,"рещи","ἐρεῖ",333260,21100,"λέγω","future"
"3213","Marianus","Luke 13","LUKE 13.35",595925,40862,"речете",58793,"рещи","εἴπητε",333459,21114,"λέγω","aorist_subjunctive"
"3215","Marianus","Luke 14","LUKE 14.9",596070,40874,"речетъ",58793,"рещи","ἐρεῖ",333607,21126,"λέγω","future"
"3216","Marianus","Luke 14","LUKE 14.10",596103,51514,"речетъ",58793,"рещи","ἐρεῖ",333640,21128,"λέγω","future"
"3231","Marianus","Luke 15","LUKE 15.18",596969,51531,"рекѫ",58793,"рещи","ἐρῶ",334496,21193,"λέγω","future"
"3252","Marianus","Luke 17","LUKE 17.7",598089,41032,"речетъ",58793,"рещи","ἐρεῖ",335633,21287,"λέγω","future"
"3253","Marianus","Luke 17","LUKE 17.8",598096,58453,"речетъ",58793,"рещи","ἐρεῖ",335642,21289,"λέγω","future"
"3258","Marianus","Luke 17","LUKE 17.21",598322,51573,"рекѫтъ",58793,"рещи","ἐροῦσιν",335862,48513,"λέγω","future"
"3260","Marianus","Luke 17","LUKE 17.23",598357,51575,"рекѫтъ",58793,"рещи","ἐροῦσιν",335905,21315,"λέγω","future"
"3296","Marianus","Luke 20","LUKE 20.5",600327,41218,"речемъ",58793,"рещи","εἴπωμεν",790441,58267,"λέγω","aorist_subjunctive"
"3297","Marianus","Luke 20","LUKE 20.5",600331,41218,"речетъ",58793,"рещи","ἐρεῖ",790444,58267,"λέγω","future"
"3298","Marianus","Luke 20","LUKE 20.6",600340,51654,"речемъ",58793,"рещи","εἴπωμεν",790452,58268,"λέγω","aorist_subjunctive"
"3320","Marianus","Luke 22","LUKE 22.11",601865,41345,"речета",58793,"рещи","ἐρεῖτε",339464,21615,"λέγω","future"
"3345","Marianus","Luke 22","LUKE 22.67",602891,41440,"рекѫ",58793,"рещи","εἴπω",340510,21715,"λέγω","aorist_subjunctive"
"3354","Marianus","Luke 23","LUKE 23.29",603450,41489,"рекѫтъ",58793,"рещи","ἐροῦσιν",341074,21766,"λέγω","future"
"3390","Marianus","John 3","JOHN 3.12",606287,41724,"рекѫ",58793,"рещи","εἴπω",344150,22019,"λέγω","aorist_subjunctive"
"3411","Marianus","John 5","JOHN 5.45",608635,41909,"рекѫ",58793,"рещи","κατηγορήσω",346579,22206,"κατηγορέω","future"
"3456","Marianus","John 8","JOHN 8.55",612048,42229,"рекѫ",58793,"рещи","εἴπω",350407,22550,"λέγω","aorist_subjunctive"
"3509","Marianus","John 12","JOHN 12.27",615236,42507,"рекѫ",58793,"рещи","εἴπω",353751,22840,"λέγω","aorist_subjunctive"
"3516","Marianus","John 12","JOHN 12.49",615661,42546,"рекѫ",58793,"рещи","εἴπω",354211,22877,"λέγω","aorist_subjunctive"
"3570","Marianus","Mark 11","MARK 11.23",734193,55133,"речетъ",58793,"рещи","εἴπῃ",110384,47352,"λέγω","aorist_subjunctive"
"3571","Marianus","Mark 11","MARK 11.31",734223,37015,"речемъ",58793,"рещи","εἴπωμεν",110549,7179,"λέγω","aorist_subjunctive"
"3572","Marianus","Mark 11","MARK 11.31",734226,37015,"речетъ",58793,"рещи","ἐρεῖ",110554,7179,"λέγω","future"
"3573","Marianus","Mark 11","MARK 11.32",734235,37017,"речемъ",58793,"рещи","εἴπωμεν",110563,7182,"λέγω","aorist_subjunctive"
"3577","Marianus","Mark 11","MARK 11.3",734519,36971,"речетъ",58793,"рещи","εἴπῃ",734557,7135,"λέγω","aorist_subjunctive"
"3581","Marianus","Mark 13","MARK 13.21",734757,37134,"речетъ",58793,"рещи","εἴπῃ",111929,7303,"λέγω","aorist_subjunctive"
"3586","Marianus","Luke 19","LUKE 19.31",763052,41186,"речета",58793,"рещи","ἐρεῖτε",763007,21453,"λέγω","future"
"3590","Marianus","Luke 11","LUKE 11.5",784169,51450,"речетъ",58793,"рещи","εἴπῃ",330456,20893,"λέγω","aorist_subjunctive"
"3591","Marianus","Matthew 24","MATT 24.48",784492,39506,"речетъ",58793,"рещи","εἴπῃ",784603,15927,"λέγω","aorist_subjunctive"
"3592","Marianus","Matthew 17","MATT 17.20",785174,50896,"речете",58793,"рещи","ἐρεῖτε",278239,47891,"λέγω","future"
"3602","Marianus","Mark 1","MARK 1.17",538828,50220,"сътворѭ",58795,"сътворити","ποιήσω",102053,6521,"ποιέω","future"
"3605","Marianus","Mark 3","MARK 3.35",540495,36505,"сътворитъ",58795,"сътворити","ποιήσῃ",103755,6652,"ποιέω","aorist_subjunctive"
"3614","Marianus","Mark 9","MARK 9.39",545347,36870,"сътворитъ",58795,"сътворити","ποιήσει",108710,47315,"ποιέω","future"
"3616","Marianus","Mark 10","MARK 10.17",545851,36906,"сътворѭ",58795,"сътворити","ποιήσω",109189,7068,"ποιέω","aorist_subjunctive"
"3617","Marianus","Mark 10","MARK 10.35",546269,50458,"сътвориши",58795,"сътворити","ποιήσῃς",109602,47334,"ποιέω","aorist_subjunctive"
"3618","Marianus","Mark 10","MARK 10.36",546279,50460,"сътворѭ",58795,"сътворити","ποιήσω",109613,7099,"ποιέω","aorist_subjunctive"
"3619","Marianus","Mark 10","MARK 10.51",546568,36963,"сътворѭ",58795,"сътворити","ποιήσω",109912,7127,"ποιέω","aorist_subjunctive"
"3621","Marianus","Mark 12","MARK 12.9",547402,50498,"сътворитъ",58795,"сътворити","ποιήσει",110751,7203,"ποιέω","future"
"3627","Marianus","Mark 15","MARK 15.12",550386,37296,"сътворѭ",58795,"сътворити","ποιήσω",113762,7469,"ποιέω","aorist_subjunctive"
"3630","Marianus","Matthew 5","MATT 5.27",564019,50669,"сътвориши",58795,"сътворити","μοιχεύσεις",269083,47689,"μοιχεύω","future"
"3637","Marianus","Matthew 12","MATT 12.16",568714,38723,"сътворѧтъ",58795,"сътворити","ποιήσωσιν",273923,15138,"ποιέω","aorist_subjunctive"
"3643","Marianus","Matthew 17","MATT 17.4",572436,39037,"сътворимъ",58795,"сътворити","ποιήσω",277912,15452,"ποιέω","future"
"3645","Marianus","Matthew 18","MATT 18.35",573676,39129,"сътворитъ",58795,"сътворити","ποιήσει",279145,15546,"ποιέω","future"
"3646","Marianus","Matthew 19","MATT 19.16",574008,39159,"сътворѭ",58795,"сътворити","ποιήσω",279468,15576,"ποιέω","aorist_subjunctive"
"3647","Marianus","Matthew 19","MATT 19.18",574056,39165,"сътвориши",58795,"сътворити","μοιχεύσεις",279516,15582,"μοιχεύω","future"
"3652","Marianus","Matthew 20","MATT 20.32",574943,39240,"сътворѭ",58795,"сътворити","ποιήσω",280360,15657,"ποιέω","aorist_subjunctive"
"3656","Marianus","Matthew 21","MATT 21.21",575403,50975,"сътворите",58795,"сътворити","ποιήσετε",280830,47917,"ποιέω","future"
"3659","Marianus","Matthew 21","MATT 21.40",575824,39325,"сътворитъ",58795,"сътворити","ποιήσει",281267,15744,"ποιέω","future"
"3663","Marianus","Matthew 23","MATT 23.15",576911,39421,"сътворити",58795,"сътворити","ποιῆσαι",282379,15840,"ποιέω","aorist_active_infinitive"
"3673","Marianus","Matthew 26","MATT 26.18",579408,51135,"сътворѭ",58795,"сътворити","ποιῶ",284988,48009,"ποιέω","present"
"3677","Marianus","Matthew 27","MATT 27.22",580865,39750,"сътворѭ",58795,"сътворити","ποιήσω",286491,16174,"ποιέω","aorist_subjunctive"
"3680","Marianus","Matthew 28","MATT 28.14",581906,39832,"сътворимъ",58795,"сътворити","ποιήσομεν",287536,16259,"ποιέω","future"
"3700","Marianus","Luke 7","LUKE 7.8",588671,40306,"сътворитъ",58795,"сътворити","ποιεῖ",760357,48376,"ποιέω","present"
"3706","Marianus","Luke 9","LUKE 9.33",591437,40515,"сътворимъ",58795,"сътворити","ποιήσωμεν",789038,20753,"ποιέω","aorist_subjunctive"
"3713","Marianus","Luke 12","LUKE 12.17",594356,40749,"сътворѭ",58795,"сътворити","ποιήσω",331838,20997,"ποιέω","aorist_subjunctive"
"3714","Marianus","Luke 12","LUKE 12.18",594371,51474,"сътворѭ",58795,"сътворити","ποιήσω",331853,20999,"ποιέω","future"
"3718","Marianus","Luke 13","LUKE 13.9",595359,40820,"сътворитъ",58795,"сътворити","ποιήσῃ",332884,21071,"ποιέω","aorist_subjunctive"
"3721","Marianus","Luke 16","LUKE 16.3",597334,40969,"сътворѭ",58795,"сътворити","ποιήσω",334862,21221,"ποιέω","aorist_subjunctive"
"3722","Marianus","Luke 16","LUKE 16.4",597354,40971,"сътворѭ",58795,"сътворити","ποιήσω",334883,21223,"ποιέω","future"
"3726","Marianus","Luke 17","LUKE 17.10",598140,51565,"сътворите",58795,"сътворити","ποιήσητε",335681,21292,"ποιέω","aorist_subjunctive"
"3730","Marianus","Luke 18","LUKE 18.8",598741,41083,"сътворитъ",58795,"сътворити","ποιήσει",336303,21344,"ποιέω","future"
"3732","Marianus","Luke 18","LUKE 18.41",599348,41136,"сътворѭ",58795,"сътворити","ποιήσω",336911,21399,"ποιέω","aorist_subjunctive"
"3735","Marianus","Luke 19","LUKE 19.48",600235,41210,"сътворѧтъ",58795,"сътворити","ποιήσωσιν",337831,21479,"ποιέω","aorist_subjunctive"
"3736","Marianus","Luke 20","LUKE 20.13",600459,51658,"сътворѭ",58795,"сътворити","ποιήσω",338064,21504,"ποιέω","aorist_subjunctive"
"3737","Marianus","Luke 20","LUKE 20.15",600504,41241,"сътворитъ",58795,"сътворити","ποιήσει",338111,21511,"ποιέω","future"
"3757","Marianus","John 6","JOHN 6.15",608940,41935,"сътворѧтъ",58795,"сътворити","ποιήσωσιν",346885,22232,"ποιέω","aorist_subjunctive"
"3761","Marianus","John 7","JOHN 7.31",610576,51905,"сътворитъ",58795,"сътворити","ποιήσει",348622,22376,"ποιέω","future"
"3768","Marianus","John 9","JOHN 9.31",612754,42299,"сътворитъ",58795,"сътворити","ποιῇ",351130,22626,"ποιέω","present_subjunctive"
"3773","Marianus","John 11","JOHN 11.47",614515,42463,"сътворимъ",58795,"сътворити","ποιοῦμεν",352990,22795,"ποιέω","present"
"3777","Marianus","John 12","JOHN 12.24",615175,42503,"сътворитъ",58795,"сътворити","φέρει",353686,22836,"φέρω","present"
"3782","Marianus","John 14","JOHN 14.12",616651,52078,"сътворитъ",58795,"сътворити","ποιήσει",355266,48730,"ποιέω","future"
"3783","Marianus","John 14","JOHN 14.12",616655,52078,"сътворитъ",58795,"сътворити","ποιήσει",355271,48730,"ποιέω","future"
"3784","Marianus","John 14","JOHN 14.13",616673,42637,"сътворѭ",58795,"сътворити","ποιήσω",355290,22977,"ποιέω","future"
"3785","Marianus","John 14","JOHN 14.14",616690,42638,"сътворѭ",58795,"сътворити","ποιήσω",355309,22978,"ποιέω","future"
"3786","Marianus","John 14","JOHN 14.23",616887,42651,"сътворивѣ",58795,"сътворити","ποιησόμεθα",355512,22991,"ποιέω","future"
"3787","Marianus","John 15","JOHN 15.2",617092,42668,"сътворитъ",58795,"сътворити","φέρῃ",355726,23007,"φέρω","present_subjunctive"
"3788","Marianus","John 15","JOHN 15.5",617152,42673,"сътворитъ",58795,"сътворити","φέρει",355792,23012,"φέρω","present"
"3789","Marianus","John 15","JOHN 15.8",617219,42676,"сътворите",58795,"сътворити","φέρητε",355862,23015,"φέρω","present_subjunctive"
"3790","Marianus","John 15","JOHN 15.21",617482,42695,"сътворѧтъ",58795,"сътворити","ποιήσουσιν",356136,23034,"ποιέω","future"
"3793","Marianus","John 16","JOHN 16.3",617637,42707,"сътворѧтъ",58795,"сътворити","ποιήσουσιν",356292,23046,"ποιέω","future"
"3794","Marianus","John 17","JOHN 17.4",618382,52106,"сътворѭ",58795,"сътворити","ποιήσω",357022,23106,"ποιέω","aorist_subjunctive"
"3802","Marianus","Matthew 8","MATT 8.9",762184,57040,"сътворитъ",58795,"сътворити","ποιεῖ",271003,62761,"ποιέω","present"
"3813","Marianus","Mark 4","MARK 4.9",540667,36517,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",103944,6664,"ἀκούω","present_active_imperative"
"3815","Marianus","Mark 4","MARK 4.12",540715,36520,"слꙑшѧтъ",58797,"слꙑшати","ἀκούωσιν",103994,6668,"ἀκούω","present_subjunctive"
"3816","Marianus","Mark 4","MARK 4.15",540764,36525,"слꙑшѧтъ",58797,"слꙑшати","ἀκούσωσιν",104042,6672,"ἀκούω","aorist_subjunctive"
"3817","Marianus","Mark 4","MARK 4.16",540790,50282,"слꙑшѧтъ",58797,"слꙑшати","ἀκούσωσιν",104068,6673,"ἀκούω","aorist_subjunctive"
"3819","Marianus","Mark 4","MARK 4.20",540864,36529,"слъшѧтъ",58797,"слꙑшати","ἀκούουσιν",104151,6676,"ἀκούω","present"
"3821","Marianus","Mark 4","MARK 4.23",540933,36534,"слꙑшитъ",58797,"слꙑшати","ἀκουέτω",104218,6681,"ἀκούω","present_active_imperative"
"3822","Marianus","Mark 4","MARK 4.24",540942,36536,"слꙑшите",58797,"слꙑшати","ἀκούετε",104226,6683,"ἀκούω","present"
"3832","Marianus","Mark 8","MARK 8.18",544157,36774,"слꙑшите",58797,"слꙑшати","ἀκούετε",107488,6928,"ἀκούω","present"
"3847","Marianus","Matthew 7","MATT 7.24",565601,38490,"слꙑшитъ",58797,"слꙑшати","ἀκούει",270692,14902,"ἀκούω","present"
"3851","Marianus","Matthew 10","MATT 10.27",567619,38639,"слꙑшите",58797,"слꙑшати","ἀκούετε",272779,15052,"ἀκούω","present"
"3853","Marianus","Matthew 11","MATT 11.5",567961,38658,"слꙑшѧтъ",58797,"слꙑшати","ἀκούουσιν",273143,15073,"ἀκούω","present"
